哈尔滨,2018-01-01,-13,-21,霾,西风 1级
哈尔滨,2018-01-02,-14,-23,阴,西风 2级
哈尔滨,2018-01-03,-12,-21,多云,西风 2级
哈尔滨,2018-01-04,-10,-20,晴,西南风 2级
哈尔滨,2018-01-05,-10,-20,晴,西南风 2级
哈尔滨,2018-01-06,-8,-21,晴,西南风 2级
哈尔滨,2018-01-07,-6,-20,阴,西南风 3级
哈尔滨,2018-01-08,-5,-12,雪,西南风 2级
哈尔滨,2018-01-09,-11,-20,阴,北风 3级
哈尔滨,2018-01-10,-18,-25,多云,西北风 3级
哈尔滨,2018-01-11,-19,-30,晴,西风 2级
哈尔滨,2018-01-12,-16,-31,晴,南风 3级
哈尔滨,2018-01-13,-14,-28,多云,南风 2级
哈尔滨,2018-01-14,-4,-18,雪,西南风 4级
哈尔滨,2018-01-15,-11,-21,多云,西南风 2级
哈尔滨,2018-01-16,-11,-21,多云,东风 2级
哈尔滨,2018-01-17,-8,-21,阴,南风 3级
哈尔滨,2018-01-18,-12,-21,晴,西南风 2级
哈尔滨,2018-01-19,-10,-20,多云,西南风 3级
哈尔滨,2018-01-20,-16,-26,多云,西风 3级
哈尔滨,2018-01-21,-19,-28,晴,西风 2级
哈尔滨,2018-01-22,-21,-30,晴,西风 2级
哈尔滨,2018-01-23,-24,-32,多云,西风 2级
哈尔滨,2018-01-24,-24,-34,晴,西北风 2级
哈尔滨,2018-01-25,-22,-34,多云,西风 2级
哈尔滨,2018-01-26,-20,-32,晴,西风 3级
哈尔滨,2018-01-27,-18,-30,多云,西南风 3级
哈尔滨,2018-01-28,-18,-28,多云,西南风 3级
哈尔滨,2018-01-29,-16,-29,晴,西南风 3级
哈尔滨,2018-01-30,-16,-27,多云,西南风 2级
哈尔滨,2018-01-31,-13,-27,晴,西南风 2级
哈尔滨,2018-02-01,-10,-25,阴,南风 2级
哈尔滨,2018-02-02,-12,-22,多云,西风 2级
哈尔滨,2018-02-03,-15,-24,阴,西北风 2级
哈尔滨,2018-02-04,-16,-29,多云,西北风 2级
哈尔滨,2018-02-05,-17,-28,晴,西北风 2级
哈尔滨,2018-02-06,-16,-27,晴,西北风 1级
哈尔滨,2018-02-07,-14,-29,晴,西南风 2级
哈尔滨,2018-02-08,-9,-26,晴,南风 4级
哈尔滨,2018-02-09,-3,-17,多云,西南风 4级
哈尔滨,2018-02-10,-14,-22,多云,西南风 3级
哈尔滨,2018-02-11,-15,-23,阴,西风 3级
哈尔滨,2018-02-12,-13,-23,多云,西风 2级
哈尔滨,2018-02-13,-10,-25,晴,西南风 3级
哈尔滨,2018-02-14,-8,-22,晴,西风 2级
哈尔滨,2018-02-15,-7,-22,晴,西南风 3级
哈尔滨,2018-02-16,-9,-18,多云,西风 3级
哈尔滨,2018-02-17,-10,-22,多云,西风 2级
哈尔滨,2018-02-18,-8,-22,晴,西南风 2级
哈尔滨,2018-02-19,-8,-22,多云,西南风 2级
哈尔滨,2018-02-20,-7,-19,晴,西风 2级
哈尔滨,2018-02-21,-6,-20,阴,西南风 3级
哈尔滨,2018-02-22,-7,-17,晴,西风 2级
哈尔滨,2018-02-23,-9,-20,多云,东北风 2级
哈尔滨,2018-02-24,-7,-23,晴,西风 2级
哈尔滨,2018-02-25,-6,-20,阴,东南风 2级
哈尔滨,2018-02-26,-6,-17,阴,东北风 3级
哈尔滨,2018-02-27,-5,-17,晴,东北风 2级
哈尔滨,2018-02-28,-5,-16,雪,东风 3级
哈尔滨,2018-03-01,-8,-16,多云,西北风 4级
哈尔滨,2018-03-02,-6,-20,多云,南风 3级
哈尔滨,2018-03-03,-5,-16,阴,东北风 3级
哈尔滨,2018-03-04,-7,-16,多云,西风 3级
哈尔滨,2018-03-05,-8,-20,多云,西风 3级
哈尔滨,2018-03-06,-10,-19,多云,西风 2级
哈尔滨,2018-03-07,-10,-23,阴,东北风 2级
哈尔滨,2018-03-08,-9,-21,多云,西北风 2级
哈尔滨,2018-03-09,-9,-24,阴,东风 2级
哈尔滨,2018-03-10,-6,-16,阴,北风 3级
哈尔滨,2018-03-11,-2,-23,晴,西南风 2级
哈尔滨,2018-03-12,5,-12,阴,南风 3级
哈尔滨,2018-03-13,2,-7,多云,东北风 2级
哈尔滨,2018-03-14,1,-7,雪,东北风 3级
哈尔滨,2018-03-15,-3,-11,晴,北风 3级
